title,average_rating,language_code,num_pages,ratings_count,text_reviews_count,decade,quarter,tra_co,multivolume,len_title,polarity,subjectivity
harry potter half blood prince,4.57,eng,652,2095690,27591,2000,3,1,1,39,-0.16666666666666666,0.16666666666666666
harry potter order phoenix,4.49,eng,870,2153167,29221,2000,3,1,1,42,0.0,0.0
harry potter chamber secrets,4.42,eng,352,6333,244,2000,4,0,1,40,0.0,0.0
harry potter prisoner azkaban,4.56,eng,435,2339585,36325,2000,2,1,1,41,0.0,0.0
harry potter boxed set books 5,4.78,eng,2690,41428,164,2000,3,1,1,34,0.0,0.0
unauthorized harry potter book seven news half blood prince analysis speculation,3.74,en-US,152,19,1,2000,2,0,0,87,-0.16666666666666666,0.16666666666666666
harry potter collection,4.73,eng,3342,28242,808,2000,3,0,1,24,0.0,0.0
the ultimate hitchhiker guide five complete novels one story,4.38,eng,815,3628,254,2000,4,0,1,68,0.05,0.7
the ultimate hitchhiker guide galaxy,4.38,eng,815,249558,4080,2000,2,0,1,46,0.0,1.0
the hitchhiker guide galaxy,4.22,eng,215,4930,460,2000,3,0,1,37,0.0,0.0
the ultimate hitchhiker guide,4.38,eng,815,2877,195,1990,1,0,1,32,0.0,1.0
a short history nearly everything,4.21,eng,544,248558,9396,2000,3,0,0,36,0.05,0.35
bill bryson african diary,3.44,eng,55,7270,499,2000,4,0,0,27,0.0,0.0
bryson dictionary troublesome words a writer guide getting it right,3.87,eng,256,2088,131,2000,3,0,0,78,0.2857142857142857,0.5357142857142857
in sunburned country,4.07,eng,335,72451,4245,2000,2,0,0,22,0.0,0.0
i stranger here myself notes returning america after twenty years away,3.9,eng,304,49240,2211,2000,2,0,0,81,0.0,0.0
the lost continent travels small town america,3.83,eng,299,45712,2257,1990,3,0,0,49,-0.25,0.4
neither here there travels europe,3.86,eng,254,48701,2238,1990,1,0,0,41,0.0,0.0
notes small island,3.91,eng,324,80609,3301,1990,2,0,0,25,-0.25,0.4
the mother tongue english how it got that way,3.93,eng,270,28489,2085,1990,3,0,0,50,0.0,0.0
j r r tolkien 4 book boxed set the hobbit the lord rings,4.59,eng,1728,101233,1550,2010,3,0,1,69,0.0,0.0
the lord rings,4.5,eng,1184,1710,91,2000,4,0,1,22,0.0,0.0
the fellowship ring,4.36,eng,398,2128944,13670,2000,3,0,1,27,0.0,0.0
the lord rings,4.5,en-US,1216,1618,140,2000,4,1,1,22,0.0,0.0
the lord rings weapons warfare,4.53,eng,218,19822,46,2000,4,1,0,42,0.0,0.0
the lord rings complete visual companion,4.5,eng,224,359,6,2000,4,0,0,48,0.05,0.2
agile web development rails a pragmatic guide,3.84,eng,558,1430,59,2000,3,1,0,51,0.5,0.75
hatchet,3.72,eng,208,270244,12017,2000,2,0,1,8,0.0,0.0
hatchet a guide using hatchet classroom,4.0,eng,48,36,2,1990,3,1,0,53,0.0,0.0
guts the true stories behind hatchet brian books,3.88,eng,144,2067,334,2000,1,0,1,57,-0.025000000000000022,0.675
molly hatchet 5 best,4.33,eng,56,6,0,2000,2,0,0,29,1.0,0.3
hatchet jobs writings contemporary fiction,3.45,en-US,228,99,16,2000,4,0,0,46,0.16666666666666666,0.16666666666666666
a changeling all seasons,3.76,eng,304,167,4,2000,4,1,1,29,0.0,0.0
changeling,3.6,eng,256,978,111,2000,3,0,1,11,0.0,0.0
the changeling sea,4.06,eng,137,4454,302,2000,2,0,0,18,0.0,0.0
the changeling,4.17,eng,228,1176,96,2000,2,0,0,14,0.0,0.0
the changeling,3.55,eng,339,301,43,2000,2,0,0,14,0.0,0.0
the changeling,3.98,eng,369,345,12,1990,3,0,1,15,0.0,0.0
the known world,3.83,eng,388,29686,2626,2000,3,0,0,15,0.0,0.0
the known world,3.83,eng,576,22,3,2000,2,0,0,15,0.0,0.0
traders guns money knowns unknowns dazzling world derivatives,3.83,eng,334,1456,82,2000,2,0,0,79,0.75,1.0
artesia adventures known world,4.13,eng,352,52,4,2000,4,0,0,38,0.0,0.0
the john mcphee reader,4.42,eng,416,562,37,1980,2,1,1,23,0.0,0.0
uncommon carriers,3.95,en-US,248,1630,203,2000,2,0,0,17,0.8,1.0
heirs general practice,4.17,eng,128,268,22,1980,2,0,0,25,0.05000000000000002,0.5
the control nature,4.24,en-US,288,3498,305,1990,3,0,0,21,0.0,0.0
annals former world,4.34,eng,720,3115,228,1990,1,0,0,26,0.0,0.0
coming into country,4.22,eng,448,5704,261,1990,2,0,0,23,0.0,0.0
la place concorde suisse,3.92,fre,160,698,52,1990,2,0,0,30,0.0,0.0
giving good weight,4.23,eng,288,542,36,1990,2,0,0,18,0.7,0.6000000000000001
rising plains,4.23,eng,208,1341,98,1980,4,0,0,22,0.0,0.0
the heidi chronicles,3.75,eng,81,1423,70,2000,1,0,0,20,0.0,0.0
the heidi chronicles uncommon women others isn it romantic,3.84,eng,249,2766,64,1990,3,0,0,67,0.4,0.75
active literacy across curriculum strategies reading writing speaking listening,3.94,eng,138,31,1,2000,1,0,0,95,-0.13333333333333333,0.6
simply beautiful beaded jewelry,3.77,en-US,128,62,4,2000,1,0,0,31,0.85,1.0
always enough god miraculous provision among poorest children earth,4.46,eng,192,860,53,2000,3,1,0,77,0.0,0.5
mapping big picture integrating curriculum assessment k 12,3.68,en-US,108,77,2,1990,1,0,0,65,0.0,0.1
heidi,3.99,eng,352,153317,2257,2000,4,1,1,6,0.0,0.0
getting results curriculum mapping,3.25,eng,192,55,5,2000,4,0,0,39,0.0,0.0
there always enough the miraculous move god mozambique,4.46,eng,192,34,6,2000,2,1,0,63,0.0,0.5
what expect first year,3.89,eng,832,11797,659,2000,4,1,0,30,0.25,0.3333333333333333
the player handbook the ultimate guide dating relationships,3.82,eng,123,34,8,2000,2,1,0,69,0.0,1.0
simply beautiful beading 53 quick easy projects,3.78,en-US,128,78,4,2000,3,0,0,52,0.5388888888888889,0.7777777777777778
god emperor dune,3.84,eng,423,2785,166,1980,2,0,1,20,0.0,0.0
chapterhouse dune,3.91,eng,436,38778,568,1980,3,0,1,19,0.0,0.0
dune messiah,3.88,eng,331,97494,2359,1980,3,0,1,13,0.0,0.0
dreamer dune the biography frank herbert,4.01,en-US,592,784,21,2000,3,0,0,47,0.0,0.0
heretics dune,3.86,eng,480,272,20,1980,2,0,1,17,0.0,0.0
the road dune,3.88,eng,426,4789,83,2000,3,1,0,16,0.0,0.0
heretics dune,3.86,eng,471,45388,644,1980,3,0,1,17,0.0,0.0
the lord rings the art fellowship ring,4.59,eng,192,26153,102,2000,2,0,0,60,0.0,0.0
the power one,4.35,eng,544,69167,4551,1990,3,0,1,17,0.0,0.0
the power one,4.35,eng,291,45,13,2000,3,0,1,17,0.0,0.0
the power one one person one rule one month,4.28,en-US,256,16,1,2000,4,1,0,49,0.0,0.0
power hour business life mastery one hour week,3.34,eng,205,174,16,2000,2,0,0,62,0.0,0.0
the power one the solo play playwrights actors directors,3.67,eng,240,10,0,2000,1,0,0,70,0.0,0.0
how buy sell profit ebay kick start your home based business just thirty days,3.48,eng,336,76,9,2000,2,0,0,90,0.0,0.0
ebay dummies,3.5,eng,386,111,9,2000,4,0,0,16,0.0,0.0
what sell ebay where get it the definitive guide product sourcing ebay beyond,3.62,eng,260,24,0,2000,1,1,0,102,0.0,0.0
starting ebay business dummies,3.55,eng,384,55,4,2000,3,0,0,37,0.0,0.1
ebay top 100 simplified tips tricks,4.27,eng,260,9,0,2000,2,0,0,38,0.5,0.5
ebay timesaving techniques dummies,3.39,en-US,391,22,1,2000,2,0,0,38,0.0,0.0
ebay business all one desk reference dummies,3.89,en-US,864,17,3,2000,2,0,0,51,0.0,0.0
ruby cookbook,3.84,eng,873,166,4,2000,3,1,0,13,0.0,0.0
ruby ann down home trailer park cookbook,4.12,eng,240,50,5,2000,2,0,0,42,-0.15555555555555559,0.2888888888888889
ruby ann down home trailer park bbqin cookbook,4.08,eng,206,13,2,2000,2,0,0,49,-0.15555555555555559,0.2888888888888889
rails cookbook recipes rapid web development ruby,3.48,eng,514,64,1,2000,1,0,0,59,0.0,0.0
anna karenina,4.05,eng,838,16643,1851,2000,2,1,0,13,0.0,0.0
anna karenina,4.05,eng,960,109420,5696,2000,4,1,0,13,0.0,0.0
anna karenina,4.05,eng,837,2904,309,2000,1,1,0,13,0.0,0.0
cliffsnotes tolstoy anna karenina,3.85,eng,80,16,3,1960,4,1,0,38,0.0,0.0
anna karenina,4.05,eng,803,9564,726,2000,3,1,0,13,0.0,0.0
anna karenina,4.05,eng,752,474,72,2000,4,1,0,13,0.0,0.0
anna karenina,4.05,eng,803,303,48,2000,3,1,0,13,0.0,0.0
dinner anna karenina,2.99,eng,360,411,65,2000,1,0,0,25,0.0,0.0
tolstoy anna karenina,4.19,eng,128,1204,33,1980,4,0,0,22,0.0,0.0
untouchable,3.71,eng,160,3429,279,1990,3,1,0,11,0.0,0.0
the untouchable,3.95,eng,367,2163,216,1990,2,0,0,15,0.0,0.0
the untouchables,3.89,eng,256,613,31,1990,1,1,0,16,0.0,0.0
untouchables my family triumphant journey out caste system modern india,3.82,en-US,320,308,40,2000,3,0,0,84,0.2,0.3
dalit the black untaouchables india,4.2,eng,100,10,0,1990,1,1,0,39,-0.16666666666666666,0.43333333333333335
growing up untouchable india a dalit autobiography,3.65,eng,224,16,4,2000,4,1,0,54,0.0,0.0
the evidence based social work skills book,3.4,eng,216,10,0,2000,3,0,0,42,0.03333333333333333,0.06666666666666667
a wrinkle time a guide using a wrinkle time classroom,4.0,eng,48,17,0,1990,3,1,0,73,0.0,0.0
wrinkles time,4.01,eng,360,1035,23,1990,4,1,0,16,0.0,0.0
a wrinkle time with related readings,4.0,eng,250,36,6,2000,2,0,1,41,0.0,0.4
literature circle guide a wrinkle time,3.6,eng,32,15,0,2000,1,0,0,42,0.0,0.0
una arruga en el tiempo a wrinkle time,4.0,spa,205,6,1,1980,2,0,0,43,0.0,0.0
the long shadow,4.12,eng,367,376,17,1990,2,0,1,16,-0.05,0.4
a long shadow,4.11,eng,352,3086,237,2000,1,0,1,14,-0.05,0.4
long way round chasing shadows across world,3.94,en-US,320,352,44,2000,4,1,0,48,-0.125,0.4
a shadow summer,3.6,eng,331,9852,633,2000,1,0,1,19,0.0,0.0
new hope dead,3.9,eng,244,821,78,2000,3,1,1,22,-0.03181818181818183,0.42727272727272725
sideswipe a hoke moseley novel,4.05,eng,215,731,72,2000,1,1,0,31,0.0,0.0
miami blues,3.94,eng,191,2897,178,2000,3,1,1,12,0.0,0.0
the burnt orange heresy,3.89,eng,144,98,11,1990,4,0,0,24,0.0,0.0
i charlotte simmons,3.42,eng,738,20888,1688,2000,3,0,0,22,0.0,0.0
poetry young people edward lear,3.91,eng,48,66,19,2000,4,1,0,36,0.1,0.4
the puffin book nonsense verse,4.02,eng,287,81,6,1990,4,0,0,33,0.0,0.0
henry miller writing,4.22,eng,217,981,52,1960,1,1,0,23,0.0,0.0
quiet days clichy,3.69,eng,154,3381,141,1990,1,0,0,20,0.0,0.3333333333333333
tropic cancer,3.68,eng,318,53206,2376,1990,1,1,0,16,0.0,0.0
tropic capricorn,3.78,eng,348,14872,459,1990,1,0,0,19,0.0,0.0
nexus,4.1,eng,316,3261,58,1990,1,0,1,6,0.0,0.0
sexus,3.98,eng,506,7805,251,1990,1,0,1,6,0.0,0.0
the air conditioned nightmare,3.83,eng,292,2699,142,1970,1,0,0,29,0.0,0.0
the portrait lady,3.78,eng,797,61640,1951,2000,3,1,0,22,0.0,0.0
the portrait lady,3.78,eng,635,392,41,2000,1,1,0,22,0.0,0.0
writing,3.75,eng,91,778,44,1990,2,0,0,7,0.0,0.0
