title,average_rating,language_code,num_pages,ratings_count,text_reviews_count,decade,quarter,tra_co,multivolume
Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,eng,652,2095690,27591,2000,3,1,1
Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,eng,870,2153167,29221,2000,3,1,1
Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,eng,352,6333,244,2000,4,0,1
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,eng,435,2339585,36325,2000,2,1,1
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),4.78,eng,2690,41428,164,2000,3,1,1
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",3.74,en-US,152,19,1,2000,2,0,0
Harry Potter Collection (Harry Potter  #1-6),4.73,eng,3342,28242,808,2000,3,0,1
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),4.38,eng,815,3628,254,2000,4,0,1
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),4.38,eng,815,249558,4080,2000,2,0,1
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,eng,215,4930,460,2000,3,0,1
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),4.38,eng,815,2877,195,1990,1,0,1
A Short History of Nearly Everything,4.21,eng,544,248558,9396,2000,3,0,0
Bill Bryson's African Diary,3.44,eng,55,7270,499,2000,4,0,0
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,3.87,eng,256,2088,131,2000,3,0,0
In a Sunburned Country,4.07,eng,335,72451,4245,2000,2,0,0
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,3.9,eng,304,49240,2211,2000,2,0,0
The Lost Continent: Travels in Small Town America,3.83,eng,299,45712,2257,1990,3,0,0
Neither Here nor There: Travels in Europe,3.86,eng,254,48701,2238,1990,1,0,0
Notes from a Small Island,3.91,eng,324,80609,3301,1990,2,0,0
The Mother Tongue: English and How It Got That Way,3.93,eng,270,28489,2085,1990,3,0,0
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59,eng,1728,101233,1550,2010,3,0,1
The Lord of the Rings (The Lord of the Rings  #1-3),4.5,eng,1184,1710,91,2000,4,0,1
The Fellowship of the Ring (The Lord of the Rings  #1),4.36,eng,398,2128944,13670,2000,3,0,1
The Lord of the Rings (The Lord of the Rings  #1-3),4.5,en-US,1216,1618,140,2000,4,1,1
The Lord of the Rings: Weapons and Warfare,4.53,eng,218,19822,46,2000,4,1,0
The Lord of the Rings: Complete Visual Companion,4.5,eng,224,359,6,2000,4,0,0
Agile Web Development with Rails: A Pragmatic Guide,3.84,eng,558,1430,59,2000,3,1,0
Hatchet (Brian's Saga  #1),3.72,eng,208,270244,12017,2000,2,0,1
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4.0,eng,48,36,2,1990,3,1,0
Guts: The True Stories behind Hatchet and the Brian Books,3.88,eng,144,2067,334,2000,1,0,1
Molly Hatchet - 5 of the Best,4.33,eng,56,6,0,2000,2,0,0
Hatchet Jobs: Writings on Contemporary Fiction,3.45,en-US,228,99,16,2000,4,0,0
A Changeling for All Seasons (Changeling Seasons #1),3.76,eng,304,167,4,2000,4,1,1
Changeling (Changeling  #1),3.6,eng,256,978,111,2000,3,0,1
The Changeling Sea,4.06,eng,137,4454,302,2000,2,0,0
The Changeling,4.17,eng,228,1176,96,2000,2,0,0
The Changeling,3.55,eng,339,301,43,2000,2,0,0
The Changeling (Daughters of England  #15),3.98,eng,369,345,12,1990,3,0,1
The Known World,3.83,eng,388,29686,2626,2000,3,0,0
The Known World,3.83,eng,576,22,3,2000,2,0,0
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,3.83,eng,334,1456,82,2000,2,0,0
Artesia: Adventures in the Known World,4.13,eng,352,52,4,2000,4,0,0
The John McPhee Reader (John McPhee Reader  #1),4.42,eng,416,562,37,1980,2,1,1
Uncommon Carriers,3.95,en-US,248,1630,203,2000,2,0,0
Heirs of General Practice,4.17,eng,128,268,22,1980,2,0,0
The Control of Nature,4.24,en-US,288,3498,305,1990,3,0,0
Annals of the Former World,4.34,eng,720,3115,228,1990,1,0,0
Coming Into the Country,4.22,eng,448,5704,261,1990,2,0,0
La Place de la Concorde Suisse,3.92,fre,160,698,52,1990,2,0,0
Giving Good Weight,4.23,eng,288,542,36,1990,2,0,0
Rising from the Plains,4.23,eng,208,1341,98,1980,4,0,0
The Heidi Chronicles,3.75,eng,81,1423,70,2000,1,0,0
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,eng,249,2766,64,1990,3,0,0
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3.94,eng,138,31,1,2000,1,0,0
Simply Beautiful Beaded Jewelry,3.77,en-US,128,62,4,2000,1,0,0
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,eng,192,860,53,2000,3,1,0
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.68,en-US,108,77,2,1990,1,0,0
Heidi (Heidi  #1-2),3.99,eng,352,153317,2257,2000,4,1,1
Getting Results with Curriculum Mapping,3.25,eng,192,55,5,2000,4,0,0
